日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1984-09-07,26.5,26.5,26.87,26.25,2981600,0.0,0.0,0.0,0.0,0.02
1984-09-10,26.5,26.37,26.62,25.87,2346400,0.0,2.83,-0.49,-0.13,0.02
1984-09-11,26.62,26.87,27.37,26.62,5444000,0.0,2.84,1.9,0.5,0.04
1984-09-12,26.87,26.12,27.0,26.12,4773600,0.0,3.28,-2.79,-0.75,0.03
1984-09-13,27.5,27.5,27.62,27.5,7429600,0.0,0.46,5.28,1.38,0.05
1984-09-14,27.62,27.87,28.5,27.62,8826400,0.0,3.2,1.35,0.37,0.06
1984-09-17,28.62,28.62,29.0,28.62,6886400,0.0,1.36,2.69,0.75,0.05
1984-09-18,28.62,27.62,28.87,27.62,3495200,0.0,4.37,-3.49,-1.0,0.02
1984-09-19,27.62,27.0,27.87,27.0,3816000,0.0,3.15,-2.24,-0.62,0.03
1984-09-20,27.12,27.12,27.37,27.12,2387200,0.0,0.93,0.44,0.12,0.02
1984-09-21,27.12,26.87,27.87,26.5,3591200,0.0,5.05,-0.92,-0.25,0.02
1984-09-24,26.87,26.62,27.0,26.62,2833600,0.0,1.41,-0.93,-0.25,0.02
1984-09-25,26.5,26.12,26.5,26.12,5977600,0.0,1.43,-1.88,-0.5,0.04
1984-09-26,26.12,25.75,27.25,25.75,3987200,0.0,5.74,-1.42,-0.37,0.03
1984-09-27,25.75,25.75,25.87,25.75,3796000,0.0,0.47,0.0,0.0,0.03
1984-09-28,25.75,25.12,25.75,24.62,8344800,0.0,4.39,-2.45,-0.63,0.06
1984-10-01,25.0,24.5,25.0,24.5,3521600,0.0,1.99,-2.47,-0.62,0.02
1984-10-02,24.75,24.75,25.62,24.75,4258400,0.0,3.55,1.02,0.25,0.03
1984-10-03,25.12,25.12,25.5,25.12,4335200,0.0,1.54,1.49,0.37,0.03
1984-10-04,25.37,25.37,25.62,25.37,4482400,0.0,1.0,1.0,0.25,0.03
1984-10-05,25.37,24.87,25.37,24.75,3510400,0.0,2.44,-1.97,-0.5,0.02
1984-10-08,24.87,24.87,25.0,24.87,1721600,0.0,0.52,0.0,0.0,0.01
1984-10-09,24.87,24.62,25.0,24.62,4515200,0.0,1.53,-1.01,-0.25,0.03
1984-10-10,24.62,23.87,24.62,23.87,13070400,0.0,3.05,-3.05,-0.75,0.09
1984-10-11,23.87,23.75,24.5,23.75,6553600,0.0,3.14,-0.5,-0.12,0.04
1984-10-12,23.75,22.75,23.87,22.5,9522400,0.0,5.77,-4.21,-1.0,0.06
1984-10-15,24.0,24.0,24.25,24.0,8715200,0.0,1.1,5.49,1.25,0.06
1984-10-16,24.0,23.87,24.12,23.87,4246400,0.0,1.04,-0.54,-0.13,0.03
1984-10-17,24.87,24.87,25.0,24.87,5636000,0.0,0.54,4.19,1.0,0.04
1984-10-18,25.62,25.62,25.75,25.62,8842400,0.0,0.52,3.02,0.75,0.06
1984-10-19,25.62,25.62,27.37,25.5,11673600,0.0,7.3,0.0,0.0,0.08
1984-10-22,25.62,25.37,26.0,25.37,4108800,0.0,2.46,-0.98,-0.25,0.03
1984-10-23,26.0,26.0,26.25,26.0,6668800,0.0,0.99,2.48,0.63,0.04
1984-10-24,26.25,26.25,26.5,26.25,5989600,0.0,0.96,0.96,0.25,0.04
1984-10-25,26.25,25.25,26.25,25.25,5676000,0.0,3.81,-3.81,-1.0,0.04
1984-10-26,25.25,24.62,25.25,24.5,4113600,0.0,2.97,-2.5,-0.63,0.03
1984-10-29,24.75,24.75,24.87,24.75,1836000,0.0,0.49,0.53,0.13,0.01
1984-10-30,25.0,25.0,25.25,25.0,2677600,0.0,1.01,1.01,0.25,0.02
1984-10-31,25.0,24.87,25.25,24.87,2191200,0.0,1.52,-0.52,-0.13,0.01
1984-11-01,25.0,25.0,25.25,25.0,1680000,0.0,1.01,0.52,0.13,0.01
1984-11-02,25.0,24.87,25.12,24.75,1004800,0.0,1.48,-0.52,-0.13,0.01
1984-11-05,24.87,24.75,25.37,24.75,3764800,0.0,2.49,-0.48,-0.12,0.03
1984-11-06,26.25,26.25,26.37,26.25,8073600,0.0,0.48,6.06,1.5,0.05
1984-11-07,26.25,25.75,26.37,25.75,8286400,0.0,2.36,-1.9,-0.5,0.06
1984-11-08,25.75,24.75,25.75,24.75,3162400,0.0,3.88,-3.88,-1.0,0.02
1984-11-09,24.75,23.25,24.87,23.0,10518400,0.0,7.56,-6.06,-1.5,0.07
1984-11-12,24.12,24.12,24.25,24.12,4070400,0.0,0.56,3.74,0.87,0.03
1984-11-13,24.12,23.5,24.62,23.5,4548800,0.0,4.64,-2.57,-0.62,0.03
1984-11-14,23.75,23.75,24.0,23.75,3752800,0.0,1.06,1.06,0.25,0.03
1984-11-15,23.75,23.75,24.0,23.75,3833600,0.0,1.05,0.0,0.0,0.03
1984-11-16,23.75,23.25,24.12,23.12,5920000,0.0,4.21,-2.11,-0.5,0.04
1984-11-19,23.25,21.87,23.37,21.87,8321600,0.0,6.45,-5.94,-1.38,0.06
1984-11-20,22.62,22.62,22.75,22.62,9424800,0.0,0.59,3.43,0.75,0.06
1984-11-21,23.12,23.12,23.25,23.12,6418400,0.0,0.57,2.21,0.5,0.04
1984-11-23,23.37,23.75,24.12,23.37,4904800,0.0,3.24,2.72,0.63,0.03
1984-11-26,24.0,24.0,24.0,24.0,3636000,0.0,0.0,1.05,0.25,0.02
1984-11-27,24.62,24.62,24.87,24.62,4590400,0.0,1.04,2.58,0.62,0.03
1984-11-28,25.87,25.87,26.5,25.87,14673600,0.0,2.56,5.08,1.25,0.1
1984-11-29,25.87,25.37,25.87,25.37,6248800,0.0,1.93,-1.93,-0.5,0.04
1984-11-30,25.37,24.75,25.62,24.62,3906400,0.0,3.94,-2.44,-0.62,0.03
1984-12-03,24.75,24.37,24.87,24.37,3533600,0.0,2.02,-1.54,-0.38,0.02
1984-12-04,24.87,24.87,25.37,24.87,4332800,0.0,2.05,2.05,0.5,0.03
1984-12-05,26.12,26.12,26.12,26.12,9406400,0.0,0.0,5.03,1.25,0.06
1984-12-06,27.37,27.37,27.5,27.37,11360000,0.0,0.5,4.79,1.25,0.08
1984-12-07,27.37,27.25,28.37,27.12,17696000,0.0,4.57,-0.44,-0.12,0.12
1984-12-10,27.25,26.75,27.25,26.75,4016000,0.0,1.83,-1.83,-0.5,0.03
